Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/31/2023 12:21:56,Lance Cole,Pie Chart,https://p5js.org/examples/form-pie-chart.html,30,"for loop, custom functions, method calling","for loop, custom functions, method calling","arc, background, createCanvas, draw, fill, height, map, noLoop, noStroke, radians, setup, width","arc, background, createCanvas, draw, fill, height, map, noLoop, noStroke, radians, setup, width",math,,Visual,No,No,No,No,Definitely needs a much less monochromatic color palette between the bg and pie chart. It blends together much too well.,Yes,Grade 5 and below,arc,,,,,"It's functional but spartan to a degree. Maybe some explanation on why we chose the angles we did in the data array, but this also could be spelled in a comment as well.",2,,,,,"Next to no comments, except on the noLoop(). I'd like to see a comment on why we chose those specific angles in the angles array, spelling out what pieChart does for beginners (especially in the for loop), and also a comment on why/how we called pieChart in draw() with the arguments 300 and angles.",,1,,No,4,No,No,,No,No,Degrees,N/A or neither,1,3,0,0,No,Yes,Beginner,"It's fairly simple, all things considered, but it definitely needs more commenting and documentation for it to make sense to beginners.",6,
10/28/2023 2:39:39,Lance Cole,Pixel Array,https://p5js.org/examples/image-processing-pixel-array.html,37,"if/else, custom variables, method calling","if/else, custom variables, method calling","background, constrain, createCanvas, draw, frameRate, get, height, int, keyIsPressed, loadImage, mouseIsPressed, mouseX, mouseY, noFill, point, rect, set, setup, stroke, width","background, constrain, createCanvas, draw, frameRate, get, height, int, keyIsPressed, loadImage, mouseIsPressed, mouseX, mouseY, noFill, point, rect, set, setup, stroke, width","animation, interactivity",,"Visual, Interactive/Kinesthetic",No,Yes,Yes,Yes,,Yes,Grade 6,,,,,,,2,,,,,,,2,,Yes,3,No,No,,No,No,N/A,N/A or neither,3,5,0,0,No,No,Intermediate,,6,
10/27/2023 0:30:20,Lance Cole,Pointillism,https://p5js.org/examples/image-pointillism.html,26,"custom variables, method calling, function used as variable (example: https://p5js.org/examples/instance-mode-instantiation.html)","custom variables, method calling, function used as variable (example: https://p5js.org/examples/instance-mode-instantiation.html)","background, CENTER, createCanvas, draw, ellipse, fill, floor, get, height, imageMode, loadImage, loadPixels, map, mouseX, noStroke, preload, random, setup, width","background, CENTER, createCanvas, draw, ellipse, fill, floor, get, height, imageMode, loadImage, loadPixels, map, mouseX, preload, random, setup, width","animation, data visualization, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,"99.9999% no, but multiple things pops up in the canvas randomly","I can't see why this patch would be an issue, but there are things quickly popping up on screen.",Yes,Grades 7 and above,,,,,,"Maybe a small tidbit on what ""pointillist"" means, but it's a pretty to-the-point description, and the sketch rendering explains itself to a degree.",1,,,,,"Definitely needs comments explaining the code, especially the pointillize part in draw().",,1,,Yes,4,No,No,,No,No,N/A,N/A or neither,3,3,0,0,No,No,Intermediate,Intermediate due to the variable function assignment and the total lack of comments.,6,
10/31/2023 12:13:39,Lance Cole,Points and Lines,https://p5js.org/examples/form-points-and-lines.html,31,"custom variables, method calling","custom variables, method calling","background, createCanvas, line, noSmooth, point, setup, stroke, translate","background, createCanvas, line, noSmooth, point, setup, stroke, translate","animation, none of the above",,Visual,No,No,No,No,"The dark grey on black color palette can get very hard to see, along with the thin stroke of the  square and even smaller rectangle dots.",Yes,Grade 5 and below,"line, point, potentially stroke and translate",,,,,,2,,,,,"It might be obvious to people w/ a bit more experience, but it probably would help to spell out the point variables p1, p2, etc, and also comment on what translate is doing as well (what exactly it's translating).",,1,"The stroke width of each of the elements, and really the elements themselves could stand to be larger on screen, especially the smaller points.",Yes,3,No,No,"Maybe spelling out what each var does, like replacing ""d"" with ""distance"", ""p1"" with ""point1"", etc.",No,No,N/A,N/A or neither,0,4,0,0,No,No,Beginner,,6,
10/26/2023 9:54:38,Darren Kessner,PolarToCartesian,https://p5js.org/examples/math-polartocartesian.html,38,custom variables,custom variables,"background, CENTER, cos, createCanvas, draw, ellipse, ellipseMode, fill, height, noStroke, setup, sin, translate, width","sin, cos, translate","animation, math",,Visual,Yes,Yes,Yes,The moving object accelerates -- at high speed it is flashing,,Yes,Grade 6,"sin, cos, translate",,,,,,5,,,,,,acceleration is unnecessary,3,,Yes,5,No,No,,No,No,Radians,N/A or neither,3,2,0,0,No,Yes,Intermediate,,7,"This is a good example, but better without acceleration"
10/28/2023 13:49:21,Amy Chen,Pulses,https://p5js.org/examples/drawing-pulses.html,24,"if/else, for loop, custom variables","if/else, while loop","background, cos, createCanvas, draw, ellipse, fill, mouseIsPressed, mouseX, mouseY, noStroke, radians, setup, sin","mouseIsPressed, mouseX, mouseY, ellipse",interactivity,,"Visual, Interactive/Kinesthetic","Since this is interactive, the smaller strokes do not pass.",Yes,No,No,,Yes,Grades 7 and above,,,,,,Some of the words can be simplified. ,2,,,,,Add comments clarifying how the for loop functions for lines 14-17,,3,,Yes,4,No,No,,No,No,Radians,radians,1,4,0,0,No,No,Beginner,"Without comments clarifying the for loop, this example would be harder to understand",8,
11/2/2023 11:50:28,Darren Kessner,Quicksort,https://p5js.org/examples/simulate-quicksort.html,104,"if/else, for loop, custom variables, custom functions","if/else, for loop, custom variables, custom functions","background, createCanvas, draw, fill, height, push, random, rect, setup, width",rect,"animation, simulation",algorithm,Visual,No,Yes,Yes,It's pretty flashy,,Yes,Grades 7 and above,It has a link to a quicksort reference -- make it clear that this link leaves the website,,,,,Intro has a good high-level overview of quicksort.  Bubblesort should have something like this.,5,,,,,,async/await/sleep/Promise  -- I think this example could use the same technique as bubble sort -- relying on the p5.js draw loop for the timing,4,Good example visually -- code is difficult to understand,No,5,No,No,,No,No,N/A,N/A or neither,2,9,0,0,Yes,Yes,Advanced,,10,Very helpful for visualizing the quicksort algorithm.  Not so helpful as a code example.
10/28/2023 12:07:49,Amy Chen,Radial Gradient,https://p5js.org/examples/color-radial-gradient.html,28,"for loop, custom variables, custom functions","for loop, custom functions","background, colorMode, createCanvas, draw, ellipse, ellipseMode, fill, frameRate, height, HSB, noStroke, RADIUS, random, setup, width","colorMode, HSB, ellipseMode, RADIUS",animation,,Visual,There is a gradient. ,Yes,Yes,No,,No,,,,,,,,1,,,,,"Comments for lines - 1, 15, 23, and 26 are needed. ",,4,,Yes,2,No,No,Variable Abbreviations that are confusing/ can be improved: 'dim' & 'h',No,No,N/A,N/A or neither,1,4,0,0,No,Yes,Intermediate,"If there is more documentation with the introduction, comments, and abbreviations, this code would be more accessible. ",6,
10/31/2023 12:47:11,Amy Chen,Radial Gradient - Editor Mode ,https://editor.p5js.org/malayvasa2001/sketches/oLbAZAYiu,18,for loop,for loop,"background, circle, colorMode, createCanvas, draw, fill, HSB, noStroke, setup","circle, colorMode, fill, HSB",none of the above,,Visual,Yes,No,,,,No,,,,,,,,4,,Line 10- Including the definition of concentric within the comments or within a introductory paragraph would be helpful. ,,,,,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
10/26/2023 10:37:34,Darren Kessner,Random,https://p5js.org/examples/math-random.html,14,for loop,for loop,"background, createCanvas, draw, frameRate, height, line, random, setup, stroke, strokeWeight, width","random, stroke","animation, simulation",,Visual,"This example depends on colors drawn with random brightness (contrast), but I think it is still ok",Yes,Yes,"Frame rate 2, full canvas redraw",,Yes,Grade 5 and below,random,,,,,,1,,,,,,,3,"This could be done without flashing, using ellipses or rects.  Keyboard or mouse press instead of frameRate(2)",No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,"Good example, but could be simplified to avoid the contrast/flashing issues."
10/29/2023 11:28:24,Darren Kessner,Random : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/q4UHuGgOf,29,"for loop, custom variables",for loop,"angleMode, background, CENTER, colorMode, cos, createCanvas, DEGREES, draw, fill, frameRate, HSB, mouseClicked, noStroke, random, rect, rectMode, setup, sin","colorMode, HSB, random, sin, cos","animation, math, interactivity",,"Visual, Interactive/Kinesthetic","Hue is random, sometimes low contrast (changes with mouse click)",Yes,Yes,Possibly -- re-render with frameRate(2),,No,,,,,,,,3,,,,,,,3,"Two Processing warnings when run:  rectMode(CENTER, CENTER) should be rectMode(CENTER), and 'size' should not be used as a local variable due to the 'size()' function.",No,5,No,No,,No,No,Degrees,angleMode,1,5,0,0,No,Yes,Intermediate,Intermediate for the randomization using polar coordinates followed by rectangular conversion.,7,
10/26/2023 12:07:01,Darren Kessner,Random Chords,https://p5js.org/examples/math-random-chords.html,29,custom functions,custom functions,"background, cos, createCanvas, draw, line, PI, random, setup, sin, stroke","random, sin, cos","animation, math, simulation",,Visual,low contrast due to stroke has alpha==15,Yes,Yes,maybe? ,,Yes,Grades 7 and above,"random, sin, cos",,,,,"Author attribution: ""Contributed by Aatish Bhatia, inspired by Anders Hoff""",5,,,,,,,2,"The demo may benefit from discussion about the polar -> rectangular coordinate conversion, or possibly using translate() instead of mathematically translating the functions.",Yes,5,No,No,,No,No,Radians,N/A or neither,0,6,0,0,No,No,Intermediate,"Intermediate for the math involved, but it's a nice simple code example",8,
10/26/2023 12:16:30,Darren Kessner,Random Gaussian,https://p5js.org/examples/math-random-gaussian.html,19,none of the above,none of the above,"background, createCanvas, draw, ellipse, fill, height, noStroke, randomGaussian, setup, width",randomGaussian,"animation, math, simulation",,Visual,transparency/alpha to illustrate pile up -- the demo depends on the change in contrast,Yes,Yes,maybe?,,Yes,Grades 7 and above,Gaussian distribution reference,,,,,"Strange phrasing: ""locations tied to a gaussian distribution of random numbers"".    ""Drawn from a Gaussian distribution"" would be better.",5,,,,,,,2,The demo could be improved by using a 2nd dimension (y) to spread out the random points.  Perhaps even better would be to render a simple histogram to illustrate the shape of the Gaussian.,Yes,5,No,No,,No,No,N/A,N/A or neither,0,4,0,0,No,No,Beginner,,7,
10/29/2023 17:07:52,Caleb,Ray Casting,https://p5js.org/examples/3d-ray-casting.html,95,"if/else, for loop, custom classes, method calling, object property assignment",none of the above,"ambientLight, ambientMaterial, background, createCanvas, createVector, draw, fill, height, mouseX, mouseY, normal, noStroke, PI, plane, point, pointLight, pop, push, rotateX, rotateY, setup, sphere, tan, translate, Vector, WEBGL, width","createVector, Vector, WEBGL","3D, interactivity",,"Visual, Interactive/Kinesthetic",No,Yes,No,No,,Yes,Grade 5 and below,ray casting,,,,,Needs more explanation,4,,,,,Comments positioned to the right would be better placed on their own line above the relevant line,,4,,Yes,1,No,No,Line 65 initializes x variable when x constant has already been declared,Yes,Yes,Radians,N/A or neither,2,9,3,2,No,Yes,Advanced,,5,"Ray casting is a great topic for an example, but this could be simplified and clarified a lot"
11/1/2023 0:54:14,Lance Cole,Reach 1,https://p5js.org/examples/interaction-reach-1.html,52,"for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","atan2, background, cos, createCanvas, draw, height, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate, width","atan2, background, cos, createCanvas, draw, height, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate, width","math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,Yes,Grade 5 and below,"atan2, cos, sin, push, pop, translate, rotate",,,,,,1,,,,,,,1,,No,4,No,No,"I might add a let in front of some vars like dx, dy, tx, ty, angle1, angle2, etc, so people don't potentially miss that these are new local vars.",No,No,Degrees,N/A or neither,5,7,0,0,No,Yes,Intermediate,,6,
11/1/2023 1:05:32,Lance Cole,Reach 2,https://p5js.org/examples/interaction-reach-2.html,60,"for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","atan2, background, cos, createCanvas, draw, height, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate, width","atan2, background, cos, height, line, mouseX, mouseY, pop, push, rotate, sin, stroke, strokeWeight, translate, width","animation, math, interactivity",,"Visual, Interactive/Kinesthetic",The darker parts of the arm do not pass all of the contrast checker's tests.,Yes,No,No,,Yes,Grade 5 and below,"atan2, cos, sin, push, pop, rotate, translate, ",,,,,,1,,,,,,,1,,Yes,4,No,No,"Some vars, like the arguments a, b in positionSegment, r x, y, a, sw in segment could stand for a more descriptive rename.",No,Yes,Degrees,N/A or neither,7,5,0,0,No,Yes,Intermediate,,6,
11/1/2023 1:44:07,Lance Cole,Reach 3,https://p5js.org/examples/interaction-reach-3.html,76,"for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","atan2, background, cos, createCanvas, draw, ellipse, height, line, noFill, pop, push, rotate, setup, sin, stroke, strokeWeight, translate, width","atan2, cos, draw, ellipse, height, line, pop, push, rotate, setup, sin, stroke, translate, ","animation, math",,Visual,Mainly the darker colored parts of the arm are an issue here,,,,,Yes,Grade 5 and below,"atan2, cos, sin, translate, rotate, push, pop",,,,,,1,,,,,,,1,"Not a critique, but just noticing that setting any of the ball directions to higher values can cause some rapid flashing. Not an issue with the base sketch, but just something to maybe take note of for the user.",Yes,4,No,No,"Some of the arguments in positionSegment, reachSegment, and segment could use more descriptive names.",No,Yes,Degrees,N/A or neither,11,6,0,0,No,Yes,Intermediate,,6,
10/27/2023 14:59:37,Amy Chen,Recursion,https://p5js.org/examples/structure-recursion.html,27,custom functions,custom functions,"createCanvas, draw, ellipse, fill, height, noLoop, noStroke, setup, width
",none,none of the above,,Visual,Yes,No,,,,Yes,Grades 7 and above,,,,,,,4,Line 16 - Favorable ,,,,Line 17 - A more thorough explaining this line would be beneficial. ,,3,,Yes,4,No,No,,No,Yes,N/A,N/A or neither,0,1,0,0,No,No,Intermediate,"While the example creates a simple imagery, the topic of recursion and how the code is presented does not seem beginner friendly, which is why I rated it as intermediate. ",9,
11/1/2023 11:08:26,Darren Kessner,Recursive Tree,https://p5js.org/examples/simulate-recursive-tree.html,48,"if/else, custom variables, custom functions","if/else, custom variables, custom functions","background, createCanvas, draw, frameRate, height, line, mouseX, pop, push, radians, rotate, setup, stroke, translate, width","push, pop, rotate, translate","animation, interactivity",recursion,"Visual, Interactive/Kinesthetic",Yes,Yes,Animation based on user mouse movement,No,,Yes,Grades 7 and above,Should have reference to recursion (as a concept),,,,,,5,,"Could be more formal, but the comments are really good.",,,,,3,,Yes,4,No,No,,No,No,Radians,N/A or neither,1,1,0,0,No,Yes,Intermediate,"This is a really nice example of recursion, well documented in the comments",10,
